title_y,cluster_id
The River Wild,0
The Indian in the Cupboard,0
Savages,1
Cellular,1
Johnny English,1
The Ant Bully,1
Dune,1
Across the Universe,1
Revolutionary Road,1
16 Blocks,1
Babylon A.D.,1
The Glimmer Man,0
Multiplicity,0
Aliens in the Attic,2
The Pledge,0
The Producers,1
The Phantom,0
All the Pretty Horses,1
Nixon,3
The Ghost Writer,1
Deep Rising,0
Miracle at St. Anna,1
Curse of the Golden Flower,4
Bangkok Dangerous,1
Big Trouble,1
Love in the Time of Cholera,0
Shadow Conspiracy,0
Johnny English Reborn,1
Foodfight!,2
Argo,1
The Fugitive,1
The Bounty Hunter,1
Sleepers,1
Rambo: First Blood Part II,1
The Juror,0
Pinocchio,3
Heaven's Gate,3
Underworld: Evolution,1
Victor Frankenstein,1
Finding Forrester,1
28 Days,1
Unleashed,1
The Sweetest Thing,1
The Firm,1
Charlie St. Cloud,1
The Mechanic,1
21 Jump Street,2
Notting Hill,1
Chicken Run,2
Along Came Polly,1
Boomerang,1
The Heat,1
Cleopatra,3
Here Comes the Boom,1
High Crimes,1
The Mirror Has Two Faces,0
The Mothman Prophecies,1
Brüno,1
Licence to Kill,1
Red Riding Hood,1
15 Minutes,1
Super Mario Bros.,0
Lord of War,1
Hero,2
One for the Money,1
The Interview,1
The Warrior's Way,0
Micmacs,0
8 Mile,1
Why I Did (Not) Eat My Father,2
A Knight's Tale,1
The Medallion,1
The Sixth Sense,2
Man on a Ledge,1
The Big Year,0
The Karate Kid,3
American Hustle,1
The Proposal,1
Double Jeopardy,1
Back to the Future Part II,2
Lucy,2
Fifty Shades of Grey,2
Spy Kids 3-D: Game Over,1
A Time to Kill,1
Cheaper by the Dozen,1
Lone Survivor,1
A League of Their Own,1
The Conjuring 2,1
The Social Network,2
He's Just Not That Into You,1
Scary Movie 4,1
Scream 3,1
Back to the Future Part III,2
Get Hard,1
Dracula,1
Julie & Julia,1
42,1
The Talented Mr. Ripley,1
Dumb and Dumber To,1
Eight Below,1
The Intern,1
Ride Along 2,1
The Last of the Mohicans,1
Ray,1
Sin City,1
Vantage Point,1
"I Love You, Man",1
Shallow Hal,1
JFK,1
Big Momma's House 2,1
The Mexican,1
17 Again,1
The Other Woman,1
The Final Destination,1
